City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
85,Constitucion,CL,2021-11-23 07:16:14,-35.3333,-72.4167,58.26,61,0,6.93
86,Luancheng,CN,2021-11-23 07:20:00,37.8792,114.6517,50.16,19,0,3.51
87,Cabedelo,BR,2021-11-23 07:20:01,-6.9811,-34.8339,75.87,80,50,9.95
88,Bengkulu,ID,2021-11-23 07:11:11,-3.8004,102.2655,83.77,63,100,6.8
89,Qaanaaq,GL,2021-11-23 07:20:03,77.484,-69.3632,-6.88,88,99,8.37
90,Cherskiy,RU,2021-11-23 07:20:03,68.75,161.3,-32.64,100,57,4.07
91,Katsuura,JP,2021-11-23 07:20:04,35.1333,140.3,62.11,71,60,11.59
92,Atuona,PF,2021-11-23 07:21:05,-9.8,-139.0333,78.22,76,69,11.07
93,Bodden Town,KY,2021-11-23 07:21:06,19.2833,-81.25,77.94,88,1,5.48
94,Dondo,MZ,2021-11-23 07:21:08,-19.6094,34.7431,83.71,67,100,3.22
95,Bredasdorp,ZA,2021-11-23 07:21:09,-34.5322,20.0403,67.32,52,40,8.05
96,Beringovskiy,RU,2021-11-23 07:21:09,63.05,179.3167,-4.68,93,76,13.11
97,Damghan,IR,2021-11-23 07:21:10,36.1683,54.348,54.07,51,5,2.19
98,New Norfolk,AU,2021-11-23 07:21:11,-42.7826,147.0587,71.89,44,100,1.99
99,Zhigansk,RU,2021-11-23 07:21:12,66.7697,123.3711,-23.04,98,94,6.73
100,Narsaq,GL,2021-11-23 07:21:13,60.9167,-46.05,19.62,71,2,6.91
101,Sakaiminato,JP,2021-11-23 07:21:14,35.55,133.2333,48.18,53,75,24.16
102,Sabya,SA,2021-11-23 07:21:15,17.1495,42.6254,89.22,55,9,4.65
103,Luan,CH,2021-11-23 07:21:16,46.3592,6.9759,38.64,90,15,2.66
104,Khani,GE,2021-11-23 07:21:17,41.9563,42.9566,44.17,42,26,0.87
105,Hithadhoo,MV,2021-11-23 07:21:15,-0.6,73.0833,81.19,78,100,19.24
106,Kotar,IN,2021-11-23 07:21:19,24.7167,80.9833,81.81,15,5,6.98
107,Chumikan,RU,2021-11-23 07:21:20,54.7183,135.315,28.0,81,100,40.67
108,Orda,RU,2021-11-23 07:21:21,57.1951,56.9091,22.71,88,96,14.16
109,Georgetown,MY,2021-11-23 07:21:22,5.4112,100.3354,87.75,71,40,8.05
110,Hobart,AU,2021-11-23 07:19:23,-42.8794,147.3294,73.02,62,0,12.66
111,Saskylakh,RU,2021-11-23 07:13:22,71.9167,114.0833,-24.97,98,6,9.17
112,Payo,ID,2021-11-23 07:21:24,-3.7508,103.6372,86.58,68,100,2.13
113,Katobu,ID,2021-11-23 07:21:26,-4.9408,122.5276,85.5,71,31,3.74
114,Hambantota,LK,2021-11-23 07:21:27,6.1241,81.1185,84.72,64,93,5.08
115,Port Macquarie,AU,2021-11-23 07:20:16,-31.4333,152.9167,73.29,83,75,10.36
116,Pervomayskoye,RU,2021-11-23 07:21:28,43.919,46.7102,53.89,71,7,7.47
117,Ahipara,NZ,2021-11-23 07:21:29,-35.1667,173.1667,61.77,79,60,8.55
118,Hasaki,JP,2021-11-23 07:18:12,35.7333,140.8333,57.6,73,100,13.4
119,Ayagoz,KZ,2021-11-23 07:21:31,47.9714,80.4392,33.21,90,100,21.12
120,Oktyabrskiy,RU,2021-11-23 07:21:32,54.4815,53.471,19.6,90,98,13.44
121,Port Elizabeth,ZA,2021-11-23 07:21:32,-33.918,25.5701,65.1,68,20,11.5
122,Hillsborough,US,2021-11-23 07:21:33,37.5741,-122.3794,58.17,75,75,5.75
123,Mar Del Plata,AR,2021-11-23 07:19:16,-38.0023,-57.5575,54.88,68,2,8.99
124,Alofi,NU,2021-11-23 07:13:34,-19.0595,-169.9187,78.53,75,62,11.14
125,Leningradskiy,RU,2021-11-23 07:21:36,69.3833,178.4167,-15.45,87,19,4.16
126,Bathsheba,BB,2021-11-23 07:21:37,13.2167,-59.5167,79.41,78,20,12.66
127,Lasa,IT,2021-11-23 07:21:37,46.6166,10.7002,37.36,85,48,2.28
128,Nanortalik,GL,2021-11-23 07:21:38,60.1432,-45.2371,20.61,72,3,13.2
129,Vao,NC,2021-11-23 07:21:39,-22.6667,167.4833,74.75,81,100,11.59
130,Ribeira Grande,PT,2021-11-23 07:21:40,38.5167,-28.7,66.6,88,20,16.11
131,Seymchan,RU,2021-11-23 07:21:41,62.8833,152.4333,-28.43,100,52,1.34
132,Hamilton,US,2021-11-23 07:20:35,39.1834,-84.5333,26.78,80,1,1.99
133,Ginir,ET,2021-11-23 07:21:42,7.1333,40.7,71.22,27,73,4.92
134,Lashio,MM,2021-11-23 07:21:43,22.9333,97.75,71.83,85,0,1.41
135,Tocopilla,CL,2021-11-23 07:22:44,-22.092,-70.1979,62.17,67,83,0.78
136,Balkhash,KZ,2021-11-23 07:22:45,46.844,74.9804,36.21,80,0,13.42
137,Aitape,PG,2021-11-23 07:22:46,-3.1374,142.3475,83.26,77,100,5.91
138,Bambous Virieux,MU,2021-11-23 07:22:47,-20.3428,57.7575,82.65,61,40,10.36
139,Norman Wells,CA,2021-11-23 07:18:29,65.282,-126.8329,-18.36,76,75,5.75
140,Dalvik,IS,2021-11-23 07:22:48,65.9702,-18.5286,35.53,96,99,9.53
141,Portland,US,2021-11-23 07:21:03,45.5234,-122.6762,45.5,94,90,3.0
142,Lompoc,US,2021-11-23 07:22:49,34.6391,-120.4579,64.53,45,1,6.91
143,Savannah Bight,HN,2021-11-23 07:22:50,16.45,-85.85,78.01,78,78,11.12
144,Walvis Bay,NA,2021-11-23 07:22:52,-22.9575,14.5053,59.95,82,90,8.05
145,Bara,NG,2021-11-23 07:22:53,10.3744,10.7288,79.12,26,88,6.06
146,Mogadishu,SO,2021-11-23 07:19:52,2.0371,45.3438,83.41,66,93,9.26
147,Fairbanks,US,2021-11-23 07:22:53,64.8378,-147.7164,1.6,73,90,12.66
148,Nikolskoye,RU,2021-11-23 07:22:55,59.7035,30.7861,28.4,88,100,6.02
149,Salalah,OM,2021-11-23 07:14:24,17.0151,54.0924,91.49,12,0,14.97
150,Kahului,US,2021-11-23 07:10:49,20.8947,-156.47,77.85,81,75,5.75
151,Necochea,AR,2021-11-23 07:16:41,-38.5473,-58.7368,47.59,72,5,6.31
152,Olinda,BR,2021-11-23 07:22:57,-8.0089,-34.8553,80.33,78,75,6.91
153,Richards Bay,ZA,2021-11-23 07:13:37,-28.783,32.0377,71.73,81,100,13.04
154,Abu Kamal,SY,2021-11-23 07:22:59,34.4506,40.9171,65.17,47,3,1.01
155,Longyearbyen,SJ,2021-11-23 07:23:00,78.2186,15.6401,4.84,66,20,3.44
156,Sitka,US,2021-11-23 07:23:01,57.0531,-135.33,35.49,80,90,5.75
157,Bollnas,SE,2021-11-23 07:23:02,61.3482,16.3946,33.48,74,100,5.3
158,Juneau,US,2021-11-23 07:23:02,58.3019,-134.4197,34.84,96,90,3.44
159,Carnarvon,AU,2021-11-23 07:23:03,-24.8667,113.6333,80.67,44,0,23.02
160,Hermanus,ZA,2021-11-23 07:23:04,-34.4187,19.2345,67.8,60,100,10.45
161,Hearst,CA,2021-11-23 07:23:05,49.6835,-83.6665,14.25,94,100,7.25
162,Jieshi,CN,2021-11-23 07:23:06,22.8134,115.8257,68.09,48,32,7.83
163,Pangnirtung,CA,2021-11-23 07:17:09,66.1451,-65.7125,23.18,77,100,15.95
164,Kaduqli,SD,2021-11-23 07:23:07,11.0167,29.7167,81.05,18,6,15.61
165,Polyarnyy,RU,2021-11-23 07:23:08,69.1989,33.4478,12.67,62,100,18.01
166,Alta Gracia,AR,2021-11-23 07:23:09,-31.6529,-64.4283,71.89,52,100,4.25
167,Honolulu,US,2021-11-23 07:19:35,21.3069,-157.8583,76.96,81,75,4.0
168,Xianyang,CN,2021-11-23 07:19:51,34.3378,108.7026,52.84,30,0,8.95
169,Darhan,MN,2021-11-23 07:23:11,49.4867,105.9228,17.26,68,100,1.45
170,Atar,MR,2021-11-23 07:23:12,20.5169,-13.0499,74.79,45,100,8.23
171,Klaksvik,FO,2021-11-23 07:23:12,62.2266,-6.589,47.32,85,100,31.41
172,Nambucca Heads,AU,2021-11-23 07:23:13,-30.65,153.0,73.17,74,11,10.04
173,Castro,BR,2021-11-23 07:23:14,-24.7911,-50.0119,60.17,66,100,2.98
174,Skibbereen,IE,2021-11-23 07:23:15,51.55,-9.2667,35.4,71,5,3.94
175,Tigil,RU,2021-11-23 07:23:16,57.8,158.6667,17.33,82,62,7.9
176,Saint-Pierre,RE,2021-11-23 07:14:45,-21.3393,55.4781,83.84,64,0,12.66
177,Tumpat,MY,2021-11-23 07:23:17,6.1978,102.171,85.98,79,40,6.91
178,Two Rivers,US,2021-11-23 07:23:18,44.1539,-87.5693,26.47,68,1,4.61
179,Olafsvik,IS,2021-11-23 07:23:19,64.8945,-23.7142,40.3,61,100,12.68
180,Eskisehir,TR,2021-11-23 07:18:41,39.7767,30.5206,42.71,81,75,5.75
