City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Mataura,NZ,-46.1927,168.8643,58.75,47,1,5.37,clear sky
111,College,US,64.8569,-147.8028,-18.42,76,90,0.0,light snow
112,Kapaa,US,22.0752,-159.319,75.18,78,1,9.22,clear sky
113,Quatre Cocos,MU,-20.2078,57.7625,84.31,56,1,9.24,clear sky
114,Ndele,CF,8.4109,20.6473,82.54,21,15,2.89,few clouds
115,San Patricio,US,28.017,-97.5169,55.26,89,100,5.91,overcast clouds
116,Mushabani,IN,22.5167,86.45,75.31,35,99,5.59,overcast clouds
117,Tashtyp,RU,52.7939,89.8983,26.96,77,100,19.95,overcast clouds
118,Vila Velha,BR,-20.3297,-40.2925,75.15,78,0,5.75,clear sky
119,Benguela,AO,-12.5763,13.4055,75.92,78,100,4.61,light rain
120,Deputatskiy,RU,69.3,139.9,-9.99,95,100,5.55,overcast clouds
121,Erie,US,42.7667,-78.6664,30.96,96,100,3.98,light snow
122,Razdolinsk,RU,58.4211,94.6658,18.5,91,100,8.68,overcast clouds
123,Mar Del Plata,AR,-38.0023,-57.5575,62.62,94,0,6.91,clear sky
124,Mayumba,GA,-3.432,10.6554,77.5,83,84,4.43,broken clouds
125,Souillac,MU,-20.5167,57.5167,84.58,51,20,13.8,few clouds
126,Tutoia,BR,-2.7619,-42.2744,80.28,81,60,10.51,broken clouds
127,Maniitsoq,GL,65.4167,-52.9,35.58,97,100,11.72,light rain
128,Lata,PT,40.1629,-8.3327,34.21,89,3,2.35,clear sky
129,Sungaipenuh,ID,-2.0833,101.3833,77.49,50,73,5.55,broken clouds
130,Yellowknife,CA,62.456,-114.3525,-10.68,77,90,11.5,light snow
131,Saint Anthony,US,45.0205,-93.218,33.64,64,1,13.8,clear sky
132,Ribeira Grande,PT,38.5167,-28.7,61.45,63,63,3.62,broken clouds
133,Namatanai,PG,-3.6667,152.4333,83.46,72,86,2.8,light rain
134,Kodiak,US,57.79,-152.4072,12.78,73,2,10.6,clear sky
135,Nenjiang,CN,49.1833,125.2167,17.78,90,91,6.2,light snow
136,Camacha,PT,33.0833,-16.3333,59.76,77,40,21.85,scattered clouds
137,Muros,ES,42.7762,-9.0603,43.3,75,70,7.94,broken clouds
138,Egvekinot,RU,66.3167,-179.1667,-16.6,81,36,3.18,scattered clouds
139,Kismayo,SO,-0.3582,42.5454,84.88,64,3,5.99,clear sky
140,Faanui,PF,-16.4833,-151.75,81.09,75,16,11.68,few clouds
141,Wanning,CN,18.8003,110.3967,74.12,81,100,17.78,overcast clouds
142,Hasaki,JP,35.7333,140.8333,55.69,41,3,15.55,clear sky
143,Bengkulu,ID,-3.8004,102.2655,83.3,67,100,5.44,overcast clouds
144,Merrill,US,45.1805,-89.6835,31.15,69,1,11.5,clear sky
145,Palmer,US,42.1584,-72.3287,24.1,75,82,5.44,broken clouds
146,Kingsburg,US,36.5138,-119.554,42.62,44,0,2.17,clear sky
147,Temerloh,MY,3.4483,102.4176,87.51,66,100,0.74,overcast clouds
148,Nelson Bay,AU,-32.7167,152.15,66.25,73,100,13.94,overcast clouds
149,Port Elizabeth,ZA,-33.918,25.5701,77.29,47,0,9.22,clear sky
150,Tuatapere,NZ,-46.1333,167.6833,54.09,65,5,6.06,clear sky
151,Hofn,IS,64.2539,-15.2082,30.83,58,100,6.49,overcast clouds
152,Dwarka,IN,22.2394,68.9678,82.72,44,94,11.52,overcast clouds
153,Tautira,PF,-17.7333,-149.15,78.82,80,56,17.2,light rain
154,Bandundu,CD,-3.3167,17.3667,76.14,85,87,2.39,overcast clouds
155,Brae,GB,60.3964,-1.353,31.91,56,98,16.08,overcast clouds
156,Georgetown,MY,5.4112,100.3354,87.75,62,20,6.91,few clouds
157,Lasa,IT,46.6166,10.7002,27.34,95,100,5.44,snow
158,Wagar,SD,16.1525,36.2032,84.79,48,0,11.32,clear sky
159,Bilibino,RU,68.0546,166.4372,-12.17,95,100,3.33,overcast clouds
160,Nishihara,JP,26.1842,127.7558,70.88,56,75,19.57,broken clouds
161,Majene,ID,-3.5403,118.9707,82.89,77,100,8.39,moderate rain
162,Macenta,GN,8.5435,-9.471,68.47,77,64,0.98,broken clouds
163,Saint-Joseph,RE,-21.3667,55.6167,82.76,85,99,6.49,light rain
164,Lima,PE,-12.0432,-77.0282,62.85,82,75,9.22,broken clouds
165,Hamilton,US,39.1834,-84.5333,43.43,80,0,7.56,clear sky
166,Saskylakh,RU,71.9167,114.0833,-3.35,92,100,10.65,overcast clouds
167,Abdulino,RU,53.7,53.6667,21.22,77,100,13.69,overcast clouds
168,Bintulu,MY,3.1667,113.0333,84.61,84,20,3.44,few clouds
169,Codrington,AU,-38.2667,141.9667,61.75,65,0,15.21,clear sky
170,El Alto,PE,-4.2714,-81.2147,66.09,75,90,10.63,overcast clouds
171,Isla Vista,US,34.4133,-119.861,48.56,35,0,3.09,clear sky
172,Van,TR,38.4924,43.3831,45.63,64,100,3.89,overcast clouds
173,Toamasina,MG,-18.1667,49.3833,78.8,78,75,12.66,broken clouds
174,Katsuura,JP,35.1333,140.3,57.31,45,1,6.55,clear sky
175,Kenora,CA,49.8167,-94.4337,25.99,63,20,10.36,few clouds
176,Atuona,PF,-9.8,-139.0333,78.53,76,50,21.34,scattered clouds
177,Gat,IL,31.61,34.7642,63.28,28,0,4.16,clear sky
178,Kenai,US,60.5544,-151.2583,3.25,85,90,0.0,overcast clouds
179,San Isidro,PE,-12.1167,-77.05,64.65,87,97,6.78,overcast clouds
180,Puerto Escondido,MX,15.85,-97.0667,76.91,62,100,4.14,overcast clouds
181,Talaya,RU,61.3833,152.75,-23.13,93,100,1.1,overcast clouds
182,Salalah,OM,17.0151,54.0924,87.82,28,5,7.99,clear sky
183,Tezu,IN,27.9167,96.1667,79.68,30,0,3.85,clear sky
184,Zalantun,CN,48.0,122.7167,24.66,81,80,2.17,broken clouds
185,Yima,CN,34.7381,111.8839,53.37,42,3,3.69,clear sky
186,Xiaoweizhai,CN,26.1903,107.5125,59.2,73,90,3.69,overcast clouds
187,Alyangula,AU,-13.8483,136.4192,88.23,50,25,5.68,scattered clouds
188,Torbay,CA,47.6666,-52.7314,47.17,87,90,12.66,overcast clouds
189,Port Lincoln,AU,-34.7333,135.8667,67.3,59,0,14.58,clear sky
190,Dongsheng,CN,39.8161,109.9776,39.0,43,28,9.13,scattered clouds
191,Crotone,IT,39.0851,17.1178,59.14,75,100,16.75,overcast clouds
